Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	30951.0	13032.5	16410.5	14996.5
100	49531.5	21642.5	39700.0	13698.0
150	124525.0	49248.5	49406.0	21192.5
200	192293.0	79497.5	47644.5	25139.0
250	303410.5	127173.5	75572.0	33406.0
300	450531.03	190029.0	112066.5	44671.5
350	651034.9	277475.0	161552.0	56829.0
400	806972.56	346904.1	198866.5	63690.0
450	959328.4	404367.4	240763.5	68684.0
500	1018862.8	442186.1	252811.0	67745.5
550	1218642.1	528679.6	299536.5	74928.5
600	1603637.5	699407.06	397589.53	92155.5
650	1778326.8	779283.25	440702.9	95440.0
700	2292626.8	1000017.75	562284.0	115051.0
750	2756380.8	1197296.2	680144.75	130997.0
800	3233200.0	1409415.5	784571.2	145937.5
850	3403230.5	1490502.8	821451.7	146311.5
900	3799042.0	1661580.6	912117.25	154110.0
950	4188732.2	1812824.8	1003953.1	161919.5
1000	4364589.5	1892333.9	1039730.94	160816.5
